critic_rating,user_rating,num_critic_rev,num_user_rev,genres,esrb_rating,unit shipped/sold
64,6.6,19,34,Action,T,1000.0
78,6.1,5,27,Action,M,1000.0
75,7.1,13,7,RPG,M,1000.0
85,8.7,25,733,Action,M,1560000.0
81,6.0,5,7,Action,M,1000.0
76,7.0,7,39,Action,M,320000.0
63,6.0,26,14,Misc,T,1000.0
69,7.8,8,12,Action,RP,1000.0
78,6.3,8,4,Misc,T,1000.0
59,0.0,7,0,Action,M,1000.0
72,7.9,34,47,RPG,M,1000.0
82,7.7,4,31,RPG,T,1000.0
75,7.6,8,64,RPG,RP,120000.0
65,7.7,20,12,Misc,T,1000.0
68,7.1,11,40,Action,RP,1000.0
78,7.7,8,22,RPG,RP,1000.0
76,8.4,4,63,RPG,T,1000.0
77,7.2,15,23,RPG,M,1000.0
78,8.0,6,307,Misc,M,1000.0
80,7.7,11,77,Action,M,170000.0
65,8.6,27,18,Misc,M,1000.0
81,0.0,4,0,RPG,M,1000.0
82,7.5,14,11,Misc,M,1000.0
46,0.0,9,0,Misc,T,1000.0
79,7.1,4,18,Action,M,120000.0
52,7.1,10,12,Misc,M,1000.0
61,0.0,10,0,Misc,T,1000.0
82,7.8,6,62,Action,M,1000.0
71,0.0,6,0,Action,T,1000.0
70,7.5,4,10,Action,M,1000.0
87,8.0,8,40,Action,M,1000.0
52,5.8,7,6,Action,M,1000.0
57,6.0,13,24,Action,M,1000.0
74,7.1,39,102,Action,T,1000.0
74,7.3,21,38,Action,RP,1000.0
71,5.9,23,27,Action,M,1000.0
71,6.1,17,26,Action,RP,1000.0
75,7.2,17,35,Action,RP,1000.0
49,4.6,8,18,Action,M,1000.0
79,7.7,4,6,RPG,T,1000.0
74,7.1,10,12,Action,T,1000.0
74,7.1,12,15,Action,T,1000.0
74,6.4,7,10,Action,M,1000.0
91,8.9,16,679,RPG,RP,1000.0
78,7.4,34,325,RPG,RP,1000.0
95,9.2,30,1308,RPG,RP,1000.0
88,8.8,14,288,RPG,RP,1000.0
78,6.6,39,381,RPG,RP,1000.0
77,3.7,13,536,RPG,T,1000.0
71,7.4,12,17,Action,T,1000.0
73,7.4,17,8,Action,M,1000.0
68,6.5,15,4,Misc,T,1000.0
73,8.1,32,674,Misc,M,2150000.0
69,6.7,5,7,RPG,M,1000.0
69,0.0,4,0,RPG,M,1000.0
58,0.0,4,0,Action,M,1000.0
67,8.0,4,8,Misc,M,1000.0
65,7.4,21,18,Misc,M,1000.0
76,0.0,5,0,Action,T,1000.0
73,7.3,13,4,Action,T,1000.0
71,5.4,5,5,Action,T,1000.0
74,8.2,5,5,Action,T,1000.0
78,6.9,8,7,Action,T,1000.0
74,6.5,11,6,Misc,T,1000.0
65,0.0,5,0,Action,T,1000.0
69,0.0,5,0,Action,M,1000.0
86,8.5,17,1473,Action,RP,2580000.0
91,8.7,29,2081,Action,M,2240000.0
91,8.7,27,2153,Action,T,2470000.0
70,3.0,14,2111,Action,M,1400000.0
74,7.5,17,1338,Action,M,1850000.0
0,71.0,0,5,Action,M,1000.0
60,5.8,7,59,Action,T,1000.0
76,6.7,34,54,RPG,M,1000.0
71,7.5,19,19,RPG,M,1000.0
71,7.4,18,20,RPG,M,1000.0
77,7.4,19,24,RPG,M,1000.0
85,7.6,15,72,RPG,M,1000.0
79,6.5,9,53,RPG,M,1000.0
64,7.0,16,125,RPG,M,1000.0
74,6.4,39,234,RPG,M,1000.0
73,7.0,20,68,RPG,T,1000.0
73,7.2,16,51,RPG,T,1000.0
73,6.8,11,47,RPG,T,1000.0
75,6.8,14,49,RPG,T,1000.0
57,6.9,13,17,Action,T,1000.0
77,6.0,6,6,Misc,M,1000.0
80,7.7,11,79,Misc,RP,140000.0
78,7.4,28,86,RPG,RP,150000.0
80,7.2,4,13,Action,M,1000.0
65,6.2,11,5,Action,T,1000.0
58,0.0,5,0,Action,T,1000.0
70,7.4,11,9,Misc,T,1000.0
73,6.7,7,22,Action,M,1000.0
82,8.5,16,67,Misc,T,1000.0
71,7.6,10,19,Misc,T,1000.0
72,0.0,6,0,Action,T,1000.0
71,7.1,15,71,Misc,T,10000.0
75,4.0,8,14,Misc,M,1000.0
54,0.0,11,0,Misc,T,1000.0
38,3.2,9,39,Action,T,1000.0
85,7.9,17,240,Action,M,3610000.0
75,7.1,37,115,Misc,T,10000.0
78,7.0,61,321,Misc,T,1000.0
78,7.1,6,9,Misc,T,1000.0
69,7.1,34,399,Action,T,200000.0
68,4.6,9,32,Misc,T,1000.0
88,7.1,54,2000,Action,M,770000.0
89,8.6,27,394,Misc,T,30000.0
79,7.7,18,41,Misc,T,1000.0
84,7.6,22,38,Misc,T,1000.0
82,5.4,4,25,Action,M,1000.0
76,4.8,8,35,Action,T,1000.0
91,8.4,55,952,Action,T,80000.0
80,6.8,48,344,Action,T,30000.0
77,8.7,15,48,Action,T,1000.0
71,6.7,11,30,Action,T,1000.0
77,7.6,25,68,Action,M,1000.0
89,7.6,61,5136,Action,T,2760000.0
85,7.7,6,80,Action,T,1000.0
87,7.1,14,111,Action,M,1000.0
86,7.2,9,160,Action,T,1000.0
73,6.9,8,123,Action,M,1000.0
78,7.3,9,65,Action,T,1000.0
81,6.1,52,3694,Action,M,1390000.0
74,5.3,4,30,Action,M,1000.0
77,6.1,4,17,Action,M,1000.0
71,4.0,31,852,Action,T,1000.0
69,6.0,24,104,Action,T,1000.0
81,2.8,51,2439,Action,M,100000.0
84,7.6,48,158,Misc,T,30000.0
87,8.3,46,1642,Action,T,720000.0
86,8.0,18,212,Action,M,1000.0
68,2.0,11,199,Action,M,1000.0
77,7.4,36,109,Misc,T,320000.0
77,7.6,24,48,Misc,M,1000.0
73,7.8,5,104,Misc,T,1000.0
66,6.0,4,4,Misc,T,100000.0
85,7.4,18,83,Misc,M,1000.0
65,0.0,8,0,Action,M,1000.0
45,0.0,7,0,Action,T,1000.0
77,7.4,8,10,Misc,M,1000.0
76,7.3,20,47,Misc,T,10000.0
74,7.8,31,51,Misc,T,20000.0
75,8.7,9,10,Action,T,1000.0
68,0.0,8,0,Misc,T,1000.0
90,8.1,17,408,Action,M,420000.0
46,7.2,5,9,Action,T,1000.0
46,7.0,14,33,Action,T,1000.0
61,7.0,11,5,Action,T,1000.0
68,6.1,9,8,RPG,M,1000.0
79,7.2,4,6,RPG,T,1000.0
76,6.9,4,7,RPG,T,1000.0
71,7.5,19,58,Misc,M,130000.0
70,7.2,11,178,Action,T,600000.0
55,5.2,6,5,RPG,T,1000.0
56,8.0,4,5,Action,M,1000.0
75,7.4,20,36,Action,M,1000.0
70,8.3,5,12,Action,M,1000.0
70,7.4,7,59,Action,RP,150000.0
58,0.0,6,0,Action,T,1000.0
75,7.9,26,152,Misc,T,1000.0
76,8.0,5,20,Misc,M,1000.0
52,4.0,11,34,Action,T,1000.0
82,7.8,27,103,Misc,M,300000.0
78,7.4,12,14,Misc,M,50000.0
53,4.9,11,9,Misc,T,1000.0
67,5.2,24,55,Action,M,1000.0
44,5.2,12,24,Action,M,1000.0
54,6.5,5,28,Action,M,1000.0
56,7.0,25,6,Misc,M,1000.0
56,5.6,23,33,Action,M,1000.0
62,7.2,35,129,Misc,M,220000.0
62,5.7,9,9,Action,M,110000.0
68,5.8,6,6,Misc,T,1000.0
75,7.5,8,14,RPG,T,1000.0
73,7.4,23,65,RPG,RP,1000.0
60,6.4,11,21,Action,M,1000.0
83,8.6,26,303,Action,M,1000.0
42,6.6,17,9,Action,T,1000.0
62,4.4,12,32,Misc,T,1000.0
50,0.0,4,0,Misc,T,1000.0
61,3.5,5,24,Action,T,1000.0
44,2.7,8,17,Action,M,1000.0
31,4.3,8,7,Misc,M,1000.0
72,6.3,9,18,Misc,M,230000.0
60,7.7,7,10,Action,M,1000.0
68,7.7,11,327,Action,M,1000.0
58,8.3,6,8,Misc,M,1000.0
96,8.5,44,4234,Action,M,1290000.0
88,8.0,36,1470,Action,M,1560000.0
94,8.6,68,8036,Action,T,4560000.0
70,7.7,34,538,Action,M,1000.0
80,8.5,34,529,Action,M,1000.0
69,6.2,5,105,Action,T,1000.0
80,6.9,8,90,Action,M,1000.0
69,6.5,22,101,Misc,M,1000.0
86,6.7,15,87,Action,M,1000.0
71,7.6,6,62,Action,M,220000.0
52,6.3,7,21,Action,T,1000.0
59,7.9,9,28,Action,T,1000.0
71,5.7,8,15,Misc,T,1000.0
74,6.4,9,9,Action,M,1000.0
85,8.1,23,163,Action,M,1000.0
90,7.8,34,337,Misc,T,40000.0
75,7.3,50,123,Misc,T,90000.0
